C,0  4  7
Cb,11   3   6
C#,1  5  8
D,2  6  9
Db,1  5  8
D#,3   7  10
E,4   8  11
Eb,3   7  10
E#,5  9  0
F,5  9  0
Fb,4   8  11
F#,6  10   1
G,7  11   2
Gb,6  10   1
G#,8  0  3
A,9  1  4
Ab,8  0  3
A#,10   2   5
B,11   3   6
Bb,10   2   5
B#,0  4  7
C/2,2  0  4  7
Cb/2,1  11   3   6
C#/2,3  1  5  8
D/2,4  2  6  9
Db/2,3  1  5  8
D#/2,5   3   7  10
E/2,6   4   8  11
Eb/2,5   3   7  10
E#/2,7  5  9  0
F/2,7  5  9  0
Fb/2,6   4   8  11
F#/2,8   6  10   1
G/2,9   7  11   2
Gb/2,8   6  10   1
G#/2,10   8   0   3
A/2,11   9   1   4
Ab/2,10   8   0   3
A#/2,0  10   2   5
B/2,1  11   3   6
Bb/2,0  10   2   5
B#/2,2  0  4  7
C/3,4  0  4  7
Cb/3,3  11   3   6
C#/3,5  1  5  8
D/3,6  2  6  9
Db/3,5  1  5  8
D#/3,7   3   7  10
E/3,8   4   8  11
Eb/3,7   3   7  10
E#/3,9  5  9  0
F/3,9  5  9  0
Fb/3,8   4   8  11
F#/3,10   6  10   1
G/3,11   7  11   2
Gb/3,10   6  10   1
G#/3,0  8  0  3
A/3,1  9  1  4
Ab/3,0  8  0  3
A#/3,2  10   2   5
B/3,3  11   3   6
Bb/3,2  10   2   5
B#/3,4  0  4  7
C/4,5  0  4  7
Cb/4,4  11   3   6
C#/4,6  1  5  8
D/4,7  2  6  9
Db/4,6  1  5  8
D#/4,8   3   7  10
E/4,9   4   8  11
Eb/4,8   3   7  10
E#/4,10   5   9   0
F/4,10   5   9   0
Fb/4,9   4   8  11
F#/4,11   6  10   1
G/4,0   7  11   2
Gb/4,11   6  10   1
G#/4,1  8  0  3
A/4,2  9  1  4
Ab/4,1  8  0  3
A#/4,3  10   2   5
B/4,4  11   3   6
Bb/4,3  10   2   5
B#/4,5  0  4  7
C/5,7  0  4  7
Cb/5,6  11   3   6
C#/5,8  1  5  8
D/5,9  2  6  9
Db/5,8  1  5  8
D#/5,10   3   7  10
E/5,11   4   8  11
Eb/5,10   3   7  10
E#/5,0  5  9  0
F/5,0  5  9  0
Fb/5,11   4   8  11
F#/5,1   6  10   1
G/5,2   7  11   2
Gb/5,1   6  10   1
G#/5,3  8  0  3
A/5,4  9  1  4
Ab/5,3  8  0  3
A#/5,5  10   2   5
B/5,6  11   3   6
Bb/5,5  10   2   5
B#/5,7  0  4  7
C/6,9  0  4  7
Cb/6,8  11   3   6
C#/6,10   1   5   8
D/6,11   2   6   9
Db/6,10   1   5   8
D#/6,0   3   7  10
E/6,1   4   8  11
Eb/6,0   3   7  10
E#/6,2  5  9  0
F/6,2  5  9  0
Fb/6,1   4   8  11
F#/6,3   6  10   1
G/6,4   7  11   2
Gb/6,3   6  10   1
G#/6,5  8  0  3
A/6,6  9  1  4
Ab/6,5  8  0  3
A#/6,7  10   2   5
B/6,8  11   3   6
Bb/6,7  10   2   5
B#/6,9  0  4  7
C/7,11   0   4   7
Cb/7,10  11   3   6
C#/7,0  1  5  8
